CountryName,CountryCode,ENPOPDNST,ENPOPSLUMURZS,ENURBLCTYURZS,ENURBMCTY,ENURBMCTYTLZS,GBXPDRSDVGDZS,IPJRNARTCSC,NYGDPMKTPKN,NYGDPPCAPKN,NYGNPMKTPKN,NYGNPPCAPKN,SHMEDBEDSZS,SHMEDCMHWP3,SHMEDNUMWP3,SHXPDCHEXGDZS,SHXPDCHEXPCCD,SIDST10TH10,SIDST50MD,SIPOVGINI,SLUEMTOTLNEZS,SPRURTOTLZG,SPRURTOTLZS,SPURBGROW,SPURBTOTL,SPURBTOTLINZS
Czech Republic,CZE,137.657705257705,..,16.4654012296731,1291552,12.1501481477579,1.92829,15576.6,5053179365000,475372.868470981,4778184720286.48,449503.018297629,..,..,..,..,..,..,..,..,2.24329996109009,-0.110997956104683,26.208,0.493103393300873,7844036,73.792
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,137.976565849012,0.00100000004749745,25.9438235351889,1320826,22.7978768427979,3.06408,13978.8,2196565291300,379134.15535598,2253122298349.67,388896.074649783,..,..,..,..,..,..,..,..,5.13119983673096,-0.46451835692407,12.126,0.629088602704045,5091100,87.874
Djibouti,DJI,41.3684210526316,64.5,75.2949442156877,..,..,..,6.16,510136831500,531991.022713052,527222746799.596,549808.896257869,..,..,..,..,..,..,..,..,..,0.978962185634435,22.223,1.72390198898162,745819,77.777
Dominica,DMA,95.5,..,..,..,..,..,12.6,1159670000,16190.8551483421,..,..,..,..,6.4385,..,..,..,..,..,..,-0.78210057082814,29.517,0.661813153617232,50483,70.483
Dominican Republic,DOM,219.97857586421,14.8000001907349,36.8175557007141,3172152,29.8494659676405,..,49.26,2500289853700,235273.457568411,2388674161605.45,224770.591367072,..,..,1.3802,..,..,35.2,14.2,43.7,5.86129999160767,-3.04606244798022,18.926,2.06676245726519,8615868,81.074
Early-demographic dividend,EAR,98.111144728063,31.7231783184867,17.5880240015816,..,18.7951143173853,..,357984.941513648,..,..,..,..,..,..,1.97378709973757,..,..,..,..,..,5.91419524843555,0.565474054094437,54.8703993026394,2.2214207639651,1465917491,45.1296006973606
East Asia & Pacific,EAS,95.428211475338,26.404670109501,11.6539751127308,..,..,2.51109311567032,866663.165708603,..,..,..,..,..,..,3.42208574043904,..,..,..,..,..,3.46920945489316,-1.45419107739617,40.9481242542379,2.08718550138617,1374809196,59.0518757457621
East Asia & Pacific (IDA & IBRD countries),TEA,130.185452991291,26.404670109501,7.45975370093065,..,..,2.04725977166555,598781.99430049,..,..,..,..,..,..,2.63424114557604,..,..,..,..,..,3.49939145019356,-1.50253939657226,44.4449079814641,2.45005591699648,1142248481,55.5550920185359
East Asia & Pacific (excluding high income),EAP,130.809797542712,26.404670109501,7.62038819041426,..,..,2.04725977166555,598879.286126005,..,..,..,..,..,..,2.65644416042007,..,..,..,..,..,3.49939145019356,-1.48803198380108,44.3666825247595,2.42753879206438,1158084885,55.6333174752405
Ecuador,ECU,68.7886817522951,20.1000003814697,26.5861487148008,4721193,27.6345957884163,..,2142.19,71870517000,4206.80257383992,69969803577.6538,4095.54796692985,..,..,2.5059,..,..,34.4,19.3,45.4,3.52959990501404,1.34911264130179,36.179,2.00248962909365,10903407,63.821
"Egypt, Arab Rep.",EGY,98.8734692852479,5.19999980926514,47.7649634748908,25162242,25.5652539413948,0.72388,13326.67,3654400000000,37129.3082720663,3562099571910.12,36191.5206603673,..,..,1.9262,..,..,..,..,..,9.81729984283447,2.03500691329673,57.296,2.03092130898479,42030812,42.704
El Salvador,SLV,309.881467181467,22.3999996185303,23.9316479587026,1106698,17.2362891278643,..,45.44,24847180000,3869.82879242655,23444452847.5577,3651.36078428881,..,..,1.8344,..,..,29.4,15.3,38.6,4.00570011138916,-2.12911339453767,27.977,1.55334406830393,4624412,72.023
Equatorial Guinea,GNQ,46.6657397504456,64.9000015258789,39.8054499842746,..,..,..,2.6,5375527580789.62,4106672.53955359,4229952258656.03,3231502.12201009,..,..,..,..,..,..,..,..,..,1.88608839027839,27.857,4.34581444152726,944333,72.143
Eritrea,ERI,..,..,..,..,..,..,21.37,..,..,..,..,..,..,1.4397,..,..,..,..,..,..,..,..,..,..,..
Estonia,EST,30.4112491373361,..,47.9944606612503,..,..,1.42515,1414.72,23629174300,17874.1190656116,23181590492.1261,17535.5475111338,..,..,11.1558,..,..,..,..,..,5.36600017547607,-0.174374312565055,31.12,0.58496349021078,910578,68.88
Eswatini,SWZ,66.0576162790698,32.0999984741211,..,..,..,..,34.05,41831719100,36817.5061235303,38000374289.9192,33445.4104018772,..,..,4.1415,..,..,..,..,..,..,0.783738420943367,76.201,1.74553277780684,270402,23.799
Ethiopia,ETH,109.224559,64.3000030517578,19.4003737935325,4399674,4.02809957786142,..,1994.44,1835179678000,16801.8959728645,1826555607136.55,16722.9387223852,..,..,0.7135,..,..,..,..,..,..,2.04993924787426,79.237,4.82593017790277,22678295,20.763
Euro area,EMU,127.60466912955,..,15.6943788449661,..,19.4785558911951,2.20985723384949,414171.55,..,..,..,..,..,..,9.80563521611356,..,..,..,..,..,8.17984422759148,-0.757517046190259,23.0082871485951,0.488681668193138,263190902,76.9917128514049
Europe & Central Asia,ECS,33.4651318902801,..,16.8117352008596,..,20.5105178725931,1.97688679674698,794017.985067441,..,..,..,..,..,..,8.32169418043851,..,..,..,..,..,7.01656139864152,-0.329165516809653,27.7898076733727,0.634635158107216,661536012,72.2101923266272
Europe & Central Asia (IDA & IBRD countries),TEC,19.9783003024588,..,17.2989717938006,..,20.7776208743287,0.866813533303776,191667.3,..,..,..,..,..,..,6.86728078783501,..,..,..,..,..,6.93412071441351,-0.0567406201762992,33.6699857584596,0.689049699485494,303243022,66.3300142415404
Europe & Central Asia (excluding high income),ECA,17.7575359364548,..,18.0072056080692,..,23.0785798002266,0.814701919555448,141382.75,..,..,..,..,..,..,6.82619937430457,..,..,..,..,..,7.37559742018125,-0.0101013218296657,32.3640693970563,0.810819848288219,267593458,67.6359306029436
European Union,EUU,111.784864172318,..,15.8638061111352,..,17.4105429274947,2.18415069905409,524444.25,..,..,..,..,..,..,9.31452488007676,..,..,..,..,..,7.26597470462843,-0.666187452232876,25.4850420490126,0.425336869589216,332916196,74.5149579509874
Faroe Islands,FRO,34.7399698278226,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0818927962308011,57.936,0.703448801850133,20400,42.064
Fiji,FJI,48.3570333880679,11.1999998092651,..,..,..,..,139.78,10734642800,12150.3671264756,..,..,..,..,3.3752,..,..,..,..,..,..,-0.465875221713094,43.752,1.58797724617295,496942,56.248
Finland,FIN,18.1485472672831,..,27.161260374759,1279096,23.1908295221216,2.77381,10598.94,227494883700,41246.2791302732,228292249312.456,41390.8466215739,..,..,..,..,..,..,..,..,7.36119985580444,-0.256536014525473,14.618,0.199422968266274,4709266,85.382
Fragile and conflict affected situations,FCS,47.1192202909152,57.9537009826374,25.3393493302731,..,17.7112735260199,..,18436.1810440857,..,..,..,..,..,..,1.02430727090731,..,..,..,..,..,..,1.44120879952993,55.4924275671346,3.19944786609105,346567359,44.5075724328654
France,FRA,122.299437237519,..,20.2356418476475,15244343,22.7643326951181,2.20002,66352.18,2314201919200,34557.9093912736,2365899052438.31,35329.9011658097,..,..,11.4707,..,..,..,..,..,9.01650047302246,-1.18920314634855,19.556,0.480451975332608,53870058,80.444
French Polynesia,PYF,75.8685792349727,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.43783610926408,38.166,0.650333739060976,171700,61.834
Gabon,GAB,8.22476423332169,36.5999984741211,42.9509354824403,..,..,..,63.78,5530919212500,2609816.66489719,..,..,..,..,..,..,..,..,..,..,..,-1.03642971893056,10.63,3.04478422807304,1893996,89.37
"Gambia, The",GMB,225.30652173913,27.1000003814697,31.2924386085219,..,..,0.0713,33.83,57777816000,25340.0137362276,56743996441.1765,24886.604389267,..,..,..,..,..,..,..,..,10.1648998260498,1.22915104668885,38.73,4.0478524176413,1397018,61.27
Georgia,GEO,65.197330207495,34.0999984741211,49.3069864298954,1077333,28.909669509243,0.30457,550.41,38395400000,10303.2054589917,36853271110.7583,9889.38320970913,..,..,4.7293,..,..,27.5,14.6,36.4,12.6669998168945,-1.00370378841174,41.368,0.647230647092237,2184950,58.632
Germany,DEU,237.30759674834,0.00999999977648258,5.54186916592983,7944887,9.58303125347759,3.09415,104396.12,3222479450000,38869.1762174079,3312426949988.84,39954.1126092851,..,..,..,..,..,..,..,..,3.38350009918213,0.0759898177879571,22.688,0.366515155973305,64096118,77.312
Ghana,GHA,130.821429199262,30.3999996185303,18.3654162432694,5504107,18.4905668363887,..,1275.99,154547672700,5191.894110103,..,..,..,..,4.2001,..,..,..,..,..,..,0.71764061306543,43.94,3.36449369189313,16687441,56.06
Gibraltar,GIB,3371.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,-0.0296533525287643,33718,100
Greece,GRC,83.2651823118697,3,37.1894505281076,3155600,29.4012363128561,1.17732,10906.99,183056492300,17055.6698843796,182089868261.699,16965.6079570892,..,..,..,..,..,..,..,..,19.2915992736816,-1.78520501888517,20.942,0.220496953517559,8485202,79.058
Greenland,GRL,0.136491655500061,..,..,..,..,..,30,15537100000,277334.309123039,..,..,..,..,..,..,..,..,..,..,..,-2.09010824057939,13.184,0.0143933708494783,48637,86.816
Grenada,GRD,327.805882352941,6,..,..,..,..,46.17,2467760000,22141.5112961401,..,..,..,..,6.2837,..,..,..,..,..,..,0.351186849425991,63.728,0.822129986088672,40427,36.272
Guam,GUM,306.977777777778,..,..,..,..,..,..,5203000000,31387.2399980696,..,..,..,..,..,..,..,..,..,..,..,-0.645089208600075,5.22,0.986937432372511,157115,94.78
Guatemala,GTM,152.547125793206,31,34.1622560501293,2851104,17.4411985110372,..,99.89,494253422000,30235.2073016679,483805970276.965,29596.1002068866,..,..,0.0737,..,..,..,..,..,..,0.839175698960119,48.946,2.33564723328312,8345772,51.054
Guinea,GIN,50.5222122741332,50.0999984741211,41.0811684295341,1843121,14.8467358416306,..,27.84,63782389000000,5137808.53688459,59880034870352.3,4823465.52346672,..,..,..,..,..,..,..,..,..,2.29122216753871,63.86,3.79794652024178,4486535,36.14
Guinea-Bissau,GNB,66.6539473684211,74.4000015258789,68.7091177556294,..,..,..,15.01,501140084800,267373.247847607,500331881381.82,266942.047112733,..,..,0.6851,..,..,..,..,..,..,1.76375269884414,56.64,3.45547607315278,812700,43.36
Guyana,GUY,3.95734823469647,31.1000003814697,..,..,..,..,13.7,470087500000,603446.837243454,458093062942.089,588049.692866903,..,..,1.0398,..,..,..,..,..,14.0190000534058,0.394134934763426,73.394,0.742878546557036,207262,26.606
Haiti,HTI,403.59854862119,65.9000015258789,42.8834760823847,2636763,23.7051270248713,..,29.18,16277000900,1463.34112667102,16403944669.9818,1474.75367376924,..,..,0.6798,..,..,..,..,..,..,-0.788559125460227,44.722,2.97438496504292,6148669,55.278
Heavily indebted poor countries (HIPC),HPC,44.8957816454125,58.4794797501346,32.1849699778551,..,14.1460676232578,..,8868.9156894577,..,..,..,..,..,..,0.832453616914615,..,..,..,..,..,..,2.04326983236143,63.9915347372492,4.12525150962479,280950435,36.0084652627508
High income,HIC,34.7828915938853,..,19.3963866707588,..,..,2.58993422834337,1450445.77223241,..,..,..,..,..,..,10.9064394640709,..,..,..,..,..,5.13542228407632,-0.499888378598897,19.1400522861518,0.674613470412027,994964231,80.8599477138482
