CountryName,CountryCode,EN.POP.DNST,EN.POP.SLUM.UR.ZS,EN.URB.LCTY.UR.ZS,EN.URB.MCTY,EN.URB.MCTY.TL.ZS,GB.XPD.RSDV.GD.ZS,IP.JRN.ARTC.SC,NY.GDP.MKTP.KN,NY.GDP.PCAP.KN,NY.GNP.MKTP.KN,NY.GNP.PCAP.KN,SH.MED.BEDS.ZS,SH.MED.CMHW.P3,SH.MED.NUMW.P3,SH.XPD.CHEX.GD.ZS,SH.XPD.CHEX.PC.CD,SI.DST.10TH.10,SI.DST.50MD,SI.POV.GINI,SL.UEM.TOTL.NE.ZS,SP.RUR.TOTL.ZG,SP.RUR.TOTL.ZS,SP.URB.GROW,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.412437730355214,38.103,0.67910990312655,172870,61.897
Gabon,GAB,..,..,42.2563745900639,..,..,..,..,5718644703000,2632191.83422099,..,..,..,..,..,..,..,..,..,..,..,-1.06836906629506,10.259,2.89835543557798,1949694,89.741
"Gambia, The",GMB,..,..,30.4979923766711,..,..,..,..,61230158564.6441,26080.8459682107,60145907623.8636,25619.0117603582,..,..,..,..,..,..,..,..,..,1.20035299262843,38.069,3.99495279170776,1453958,61.931
Georgia,GEO,65.0477623429791,..,49.0488400510636,1077346,28.9579403405349,..,..,40367700000,10850.4180484692,..,..,..,..,..,..,..,..,..,..,11.565299987793,-1.15434138689578,40.961,0.526131290953462,2196476,59.039
Germany,DEU,..,..,5.52942265611719,7977060,9.59556287765554,..,..,3240659870000,38981.7245296889,..,..,..,..,..,..,..,..,..,..,3.13910007476807,-0.00903831576598271,22.624,0.356199259518144,64324835,77.376
Ghana,GHA,..,..,18.5841264106426,5680794,18.6758527622723,..,..,164559881100,5409.97633429522,..,..,..,..,..,..,..,..,..,..,..,0.679166031547571,43.293,3.31009008201653,17249054,56.707
Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,-0.0504308885041264,33701,100
Greece,GRC,..,..,37.0750706966604,3154152,29.4331581301868,..,..,186481240700,17401.6085649535,..,..,..,..,..,..,..,..,..,..,17.3129997253418,-1.74274604899724,20.612,0.262136614075548,8507474,79.388
Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-1.44554542217769,12.948,0.631266058920437,48945,87.052
Grenada,GRD,..,..,..,..,..,..,..,2544910000,22721.8020945867,..,..,..,..,..,..,..,..,..,..,..,0.296629746900965,63.604,0.832599154032947,40765,36.396
Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-0.602760605525927,5.14100000000001,0.99934968897591,158693,94.859
Guatemala,GTM,..,..,33.8514063724799,2891230,17.4128250582118,..,..,513262398000,30911.9244934933,504474271657.827,30382.6476577323,..,..,..,..,..,..,..,..,..,0.770696070143371,48.561,2.3116594096001,8540945,51.439
Guinea,GIN,..,..,40.5283915816887,1889233,14.7928635937324,..,..,67339513000000,5272744.17860246,63138829101025.4,4943826.86709076,..,..,..,..,..,..,..,..,..,2.26925064247266,63.5,3.82576684632788,4661505,36.5
Guinea-Bissau,GNB,..,..,68.8326622445364,..,..,..,..,524193000000,272886.145298976,526168875185.342,273914.753012013,..,..,..,..,..,..,..,..,..,1.71753593667991,56.223,3.41368711824618,840922,43.777
Guyana,GUY,..,..,..,..,..,..,..,492162300000,628747.671717985,..,..,..,..,..,..,..,..,..,..,..,0.368716788947566,73.311,0.792941724083628,208912,26.689
Haiti,HTI,..,..,42.7272747382345,2704187,24.0093093565817,..,..,16124832100,1431.65425398406,15981236479.6264,1418.90501855101,..,..,..,..,..,..,..,..,..,-0.815010734197561,43.808,2.88983939801119,6328948,56.192
Heavily indebted poor countries (HIPC),HPC,..,..,32.0793651779585,..,14.2706435411711,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.99299428340751,63.5187185860037,4.10140956001723,292473363,36.4812814139963
High income,HIC,..,..,19.3974138593254,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.79656148368966,-0.55014640347531,18.952559898009,0.666561549990035,1001596280,81.047440101991
Honduras,HND,..,..,24.9387489373818,1403162,14.3971388810539,..,..,220411800000,22615.3451677217,204844873554.214,21018.1012144851,..,..,..,..,..,..,..,..,5.6975998878479,0.151923104742271,42.27,2.74492540014081,5626433,57.73
"Hong Kong SAR, China",HKG,..,..,99.7785651490529,7490776,99.7785651490529,..,..,2702979000000,360041.958600847,2842517146388.65,378628.705862035,..,..,..,..,..,..,..,..,2.96000003814697,..,0,0.754094920172569,7507400,100
Hungary,HUN,..,..,25.2002619584998,1763913,18.054475002889,..,..,40897163287500,4186016.04650137,..,..,..,..,..,..,..,..,..,..,3.41910004615784,-1.08542346079965,28.356,0.352340995276881,6999582,71.644
IBRD only,IBD,..,..,12.4992835312109,..,23.7510905631518,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-0.531202687329525,44.3837275487187,1.9179185154432,2678610910,55.6162724512813
IDA & IBRD total,IBT,..,..,15.232040773892,..,21.5390096469962,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.116214960644911,49.0512297439418,2.24406337007093,3304099384,50.9487702560582
IDA blend,IDB,..,..,18.7592819611857,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.42091309870142,57.2928135402365,3.42819781045645,239831686,42.7071864597635
